sgRNA,Gene,log2FC_Day4_mTeSR_r1_vs_plasmid,log2FC_Day4_mTeSR_r2_vs_plasmid,log2FC_Day7_E6_r1_vs_plasmid,log2FC_Day7_E6_r2_vs_plasmid,log2FC_Day7_mTeSR_r1_vs_plasmid,log2FC_Day7_mTeSR_r2_vs_plasmid,log2FC_Day9_E6_r1_vs_plasmid,log2FC_Day9_E6_r2_vs_plasmid,log2FC_Day9_mTeSR_r1_vs_plasmid,log2FC_Day9_mTeSR_r2_vs_plasmid,log2FC_Day14_E6_r1_vs_plasmid,log2FC_Day14_E6_r2_vs_plasmid,log2FC_Day14_mTeSR_r1_vs_plasmid,log2FC_Day14_mTeSR_r2_vs_plasmid
GS0298_IL5_HUMAN,IL5,0.8190444135082302,0.6961982303082692,0.638606378094158,0.8207541358603159,0.5340473315511058,0.8120948802866064,0.6674341385701776,0.5729682801515938,0.8149966730456679,0.7215797154653902,0.5612995531927805,0.4712069326656625,0.823155183457958,0.8591607940107355
GS0299_IL6_HUMAN,IL6,-1.088504660136305,-0.2337234669525809,-0.7310069751169053,-0.4735501185168811,-0.5337533715554557,-1.0811780880396,-0.5601626764328405,-0.5688588718371381,-0.4390795965738334,-0.7324217719587338,-0.9033368576940112,-0.9087437768274428,-0.7132607452146971,-0.5468804785337724
GS0300_IL7_HUMAN,IL7,0.5584635122473589,0.4408664172592349,0.3090858881748328,0.3579316113257373,0.3139891967112955,0.6257112798745794,0.1418124026271385,0.3561211603996064,0.2818057951113459,0.7620342388926122,0.0553354254770948,0.2138491042535157,0.425048636311244,0.6020887060484537
GS0301_IL8_HUMAN,IL8,0.7293385425035535,0.3936003322399095,0.6919516298960833,0.5373813906394407,0.491064935881365,0.3224307506908914,0.6723452635380784,0.2569525595410695,0.6450729232065324,0.4481879797743033,0.5748438264953499,0.4155527535604086,0.5882145769429492,0.5918336987749253
GS0302_IL8_HUMAN,IL8,0.246614644361836,0.1886845249881314,0.2317699783371356,0.1084889325238744,0.3997436531886027,0.1797437466089064,0.2021893779142498,0.0382808380666173,0.1447419663782625,0.16070416136073,0.2261624644630249,0.0768946542640591,0.2778733739570782,0.3673480959597128
GS0303_IL9_HUMAN,IL9,0.652018560993417,0.3204122654023997,0.7556693742421299,0.5979126028567716,0.5802954003971799,0.8138521358178945,0.7932139221996568,0.5342047520316697,0.4223287423816426,0.8129174424943972,0.8903360971779488,0.5179045721686908,0.5284956470424191,0.6522832097300242
GS0304_INHA_HUMAN,INHA,0.4053275060901935,0.1934268143205439,-0.1304791556915372,0.025110949866864,0.2387467723277883,-0.0898455081564169,-0.2290347240471462,0.2441306834540277,-0.079417616013913,0.0942714397830215,-0.2961432306950122,-0.2216699764600189,-0.1501535990922704,-0.2049310166083948
GS0305_INHBA_HUMAN,INHBA,-0.347942472763167,-0.4057907487987702,-0.4841569759327377,0.030580971010945,-0.536958352200088,-0.6711467687357846,-0.8861241272482889,-0.5127992081429777,-0.5547480038719677,-0.5558395805965315,-0.5513640909167634,-0.6789567220547159,-0.5262668122568126,-0.1100123266027726
GS0306_INHBA_HUMAN,INHBA,0.672923285431704,0.5405604245850064,-0.2035268667663921,0.5063281961878623,0.4028567947629788,0.105702728674025,-0.2343084062904505,-0.0825376989500039,-0.1295313618500113,0.4680135960811533,-0.1906137487542203,0.0444767356311057,0.137546145590047,-0.0231309464664644
GS0307_INHBB_HUMAN,INHBB,-0.986129311286863,-0.8244822616321041,-0.7717915206022354,-0.9394826775895772,-0.9788109597515168,-0.7706901024840729,-0.6341245950483696,-1.0163498843380676,-0.9620480577568832,-0.8079034392869886,-1.0328026173176834,-0.9554506701166988,-0.7600906850462703,-0.6542705197528313
